id,publishedAt,salary,title,jobUrl,companyName,companyUrl,location,postedTime,applicationsCount,description,contractType,experienceLevel,workType,sector,companyId,posterProfileUrl,posterFullName
3833862248,2024-03-16,,Software Engineer,https://in.linkedin.com/jobs/view/software-engineer-at-microsoft-3833862248?trk=public_jobs_topcard-title,Microsoft,https://www.linkedin.com/company/microsoft?trk=public_jobs_topcard-org-name,"Noida, Uttar Pradesh, India",2 weeks ago,Over 200 applicants,"Come be a part of Microsoft’s new Strategic Missions and Technologies team (SMT), evolving Azure Space, Quantum computing, Federal, telco, and Silicon Industries. This new division is growing and providing opportunities for high visibility and impact. As we expand high performance computing, we are applying the latest in secure collaborative technologies to our growing Azure cloud capabilities. Be part of a new business stand-up and help us expand our strategic global industries with thought leadership in key technologies such as distributed large scale secure, high-performance computing.

SMT is on an exciting journey of growth and innovation, and we are thrilled to invite passionate and dynamic individuals to join our newly established and rapidly growing team in India. As we expand our global presence, we are seeking a Software Engineer to be a key contributor to our evolving development center.

Our diversity of knowledge and experience comes together for the benefit of our customers, our colleagues, our business, and ourselves. As we grow, our team actively seeks out and values diversity of background, thought, and disciplines. We enjoy great challenges, collaboration and seeing our customers succeed while we evolve our platform. We are an agile team, have a growth mind-set, deeply passionate about our customers and developing quality software. We invest in career progression and learning opportunities. Join us and build the future of global computing and connectivity!

This technical role presents a robust opportunity to have a tangible impact on our cloud products and advance product strategy, as well as fuel our customers’ success. Intentional collaboration is a must in this role.

Responsibilities

Responsibilities


 * Deliver solutions through software development with a high degree of focus on quality code, innovation, and strong communications through documentation.
 * Participate actively in code development, code reviews, bug/issue triage within the engineering team.
   
   

Qualifications

Required Qualifications


 * Bachelor's Degree in Computer Science, or related technical discipline with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python
    * OR equivalent experience.
      

Bonus Qualifications


 * Proven experience in the disciplines of software design, development, and engineering in team-oriented product environments. 1 or more years.
 * Experience and knowledge with at least one object-oriented programming language (e.g., C++, C#, Java)
 * Experience implementing cloud-based solutions
 * Technical knowledge of Azure cloud architecture and services (IaaS, containers, orchestrators), or similar experience with AWS or GCP
 * Worked on scalable distributed solutions built for cloud scale resiliency
 * Familiarity with Azure Services, networking and security a big plus
 * A positive team player that values and cultivates inclusion, conscious collaboration, growth mindset, leading by example and customer obsession
 * Desire to learn and adapt to the ever-changing cloud technologies
   
   

Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.

#MissionEngineering

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",Full-time,Not Applicable,Engineering and Information Technology,Software Development,1035,,
3864147257,2024-03-22,,Software Engineer,https://in.linkedin.com/jobs/view/software-engineer-at-phonepe-3864147257?trk=public_jobs_topcard-title,PhonePe,https://in.linkedin.com/company/phonepe-internet?trk=public_jobs_topcard-org-name,"Bangalore Urban, Karnataka, India",1 week ago,Over 200 applicants,"About PhonePe Group:
PhonePe is India’s leading digital payments company with 50 crore (500 Million) registered users and 3.7 crore (37 Million) merchants covering over 99% of the postal codes across India. On the back of its leadership in digital payments, PhonePe has expanded into financial services (Insurance, Mutual Funds, Stock Broking, and Lending) as well as adjacent tech-enabled businesses such as Pincode for hyperlocal shopping and Indus App Store which is India's first localized App Store. The PhonePe Group is a portfolio of businesses aligned with the company's vision to offer every Indian an equal opportunity to accelerate their progress by unlocking the flow of money and access to services.
Culture
At PhonePe, we take extra care to make sure you give your best at work, Everyday! And creating the right environment for you is just one of the things we do. We empower people and trust them to do the right thing. Here, you own your work from start to finish, right from day one. Being enthusiastic about tech is a big part of being at PhonePe. If you like building technology that impacts millions, ideating with some of the best minds in the country and executing on your dreams with purpose and speed, join us!
DevX roadmap is being executed with contributions from teams all over the org, and we built several tools and systems that make our day better. To name a few - workflow apps (Kudos, CiBot, JiraBot) over our tools(slack, Jira, Gitlab) and comprehensive platforms like Autopsy 2.0, FrontPage that solve org level problems. To deliver high impact and rise to the challenges of our roadmap and charter, and to ensure consistent execution, we are establishing a centralized DevX team. This team will consist of dedicated engineers working full-time on DevX projects.
What will you find:

 * Exciting impactful work that solves the day to day problems of engineers.
 * Opportunity to work closely with all teams across the organization, and work on org-level problem statements.
 * Work with a wide range of tools and tech stack both on backend and frontend.
 * Opportunity to understand, evaluate widely adopted engineering processes and tools in the industry and customize, build and deploy them for the Phonepe ecosystem.
   

As a Software Engineer:

 * You will build Robust and scalable web-based applications You will need to think of platforms & reuse
 * Build abstractions and contracts with separation of concerns for a larger scope
 * Drive problem-solving skills for high-level business and technical problems.
 * Do high-level design with guidance; Functional modeling, break-down of a module
 * Do incremental changes to architecture: impact analysis of the same
 * Do performance tuning and improvements in large scale distributed systems
 * Mentor young minds and foster team spirit, break down execution into phases to bring predictability to overall execution
 * Work closely with Product Manager to derive capability view from features/solutions, Lead execution of medium-sized projects
 * Work with broader stakeholders to track the impact of projects/features and proactively iterate to improve them As a senior software engineer you must have
 * Extensive and expert programming experience in at least one general programming language (e.g. Java, C, C++) & tech stack to write maintainable, scalable, unit-tested code.
 * Experience with multi-threading and concurrency programming
 * Extensive experience in object-oriented design skills, knowledge of design patterns, and huge passion and ability to design intuitive module and class-level interfaces
 * Excellent coding skills – should be able to convert the design into code fluently
 * Knowledge of Test Driven Development
 * Good understanding of databases (e.g. MySQL) and NoSQL (e.g. HBase, Elasticsearch, Aerospike, etc)
 * Strong desire to solving complex and interesting real-world problems
 * Experience with full life cycle development in any programming language on a Linux platform
 * Go-getter attitude that reflects in energy and intent behind assigned tasks
 * Worked in a startups environment with high levels of ownership and commitment
 * BTech, MTech, or Ph.D. in Computer Science or related technical discipline (or equivalent).
 * Experience in building highly scalable business applications, which involve implementing large complex business flows and dealing with a huge amount of data.
 * An open communicator who shares thoughts and opinions frequently listens intently and takes constructive feedback.
   

As a Software Engineer, good to have

 * The ability to drive the design and architecture of multiple subsystems
 * Ability to break-down larger/fuzzier problems into smaller ones in the scope of the product
 * Understanding of the industry’s coding standards and an ability to create appropriate technical documentation.
   

PhonePe Full Time Employee Benefits (Not applicable for Intern or Contract Roles)

 * Insurance Benefits - Medical Insurance, Critical Illness Insurance, Accidental Insurance, Life Insurance
 * Wellness Program - Employee Assistance Program, Onsite Medical Center, Emergency Support System
 * Parental Support - Maternity Benefit, Paternity Benefit Program, Adoption Assistance Program, Day-care Support Program
 * Mobility Benefits - Relocation benefits, Transfer Support Policy, Travel Policy
 * Retirement Benefits - Employee PF Contribution, Flexible PF Contribution, Gratuity, NPS, Leave Encashment
 * Other Benefits - Higher Education Assistance, Car Lease, Salary Advance Policy
   

Working at PhonePe is a rewarding experience! Great people, a work environment that thrives on creativity, the opportunity to take on roles beyond a defined job description are just some of the reasons you should work with us. Read more about PhonePe on our blog.
Life at PhonePe
PhonePe in the news",Full-time,Mid-Senior level,Engineering,"Technology, Information and Internet",10479149,https://in.linkedin.com/in/knishamenon,Nisha Menon
3868955761,2024-03-26,,Software Engineer,https://in.linkedin.com/jobs/view/software-engineer-at-microsoft-3868955761?trk=public_jobs_topcard-title,Microsoft,https://www.linkedin.com/company/microsoft?trk=public_jobs_topcard-org-name,"Bengaluru, Karnataka, India",5 days ago,Over 200 applicants,"We are part of Edge & Platform organization delivering Azure Stack Edge and HCI which are edge-computing devices managed from Azure and we are working on our next portfolio of Edge offerings. Our team HybridAKS, who bring the Azure Cloud to on prem and enable customers to run/manage Kubernetes clusters and their workloads from any location in the world using azure portal or az cli.

Responsibilities

We are looking for solid developers with the passion to research new areas, write optimal code, enhance coding standards and ship fast.

We follow short, frequent release cycles with room for innovation in multiple areas.

As a team, we welcome smart, motivated engineers, with a positive attitude and growth mindset, ready to translate ambiguity into concrete deliverables that move the needle for the customer.

Come ready to work at cloud scale while still maintaining a small-team environment.

Be a role model for an open, honest, and inclusive approach to problem solving.

Qualifications

Required :

'BS in computer science or equivalent experience

Deep understanding of efficient data structures and algorithms

System design and good understanding of distributed system

Solid analytical and problem solving

Experience in GoLang or anyone programming language

Experience in debugging complex system

Experience in virtualization/containers, Kubernetes (or any container orchestrator)

Preferred

'BS in computer science or equivalent experience

Deep understanding of efficient data structures and algorithms

System design and good understanding of distributed system

Solid analytical and problem solving

Experience in GoLang or anyone programming language

Experience in debugging complex system

Experience in virtualization/containers, Kubernetes (or any container orchestrator)

#IDCAzureEPHiring

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",Full-time,Not Applicable,Engineering and Information Technology,Software Development,1035,,
3861734474,2024-03-20,,Software Development Engineer Backend- I,https://in.linkedin.com/jobs/view/software-development-engineer-backend-i-at-upstox-3861734474?trk=public_jobs_topcard-title,Upstox,https://in.linkedin.com/company/upstox?trk=public_jobs_topcard-org-name,"Mumbai, Maharashtra, India",1 week ago,Over 200 applicants,"The Upstox Story:

Upstox is one of India's leading Fin-Tech companies with a mission to simplify trading & investing to make it easily accessible to the masses. We aim to enable everyone, from new investors to seasoned traders, to invest across multiple categories with our state-of-the-art trade & investment platform and commission-free pricing. We offer numerous asset categories to invest in, like Stocks, IPOs, Mutual Funds, and more.

By focusing on our customers’ needs and equipping them with personalized yet powerful tools, we witnessed a steep growth of 800% in our customer base from 25 Thousand in 2017 to 2 Lakh in 2019. With 1500% growth in 2020, currently, over 11 million customers trust us with their investment decisions, thus setting us on the course to become an industry-leader in the country.

Our mission is simple - to break down the complexities of investing and make it more effortless, accessible, affordable, and easy for the masses to adopt. This key principle when infused with intuitive design and leading-edge technology will help us empower every Indian to take control of their investments.

RKSV Securities was founded by Ravi Kumar and Shrinivas Viswanath in 2009 and was soon graced by Kavitha Subramanian as the third co-founder in 2016. Backed by Ratan Tata, Upstox had raised $4 million in Series A funding in early 2016 that was led by Kalaari Capital. The Series B funding round scaled multifold and witnessed an investment of $25 million by US-based investment firm - Tiger Global Management in September 2019.

We have a team of highly skilled technology and finance professionals, and are currently looking for highly motivated field experts to be part of our high-energy team.

Roles & Responsibilities:


 * Provide expertise in the development of new products/services/processes, frequently operating at the leading edge of technology
 * Solve complex problems and follow good coding practices and complying with existing quality standard
 * Analyze project requirements and accordingly provide technical and functional recommendations
 * Perform system failure analysis and provide corrective actions
 * Setup high-quality standards in production running code by performing diligent code reviews and rigorous unit test coverage
 * Ensure high availability of backend services
   
   
   

Experience Required:


 * 1-3 years of experience in software development
 * B.S. or higher in Computer Science (or equivalent work experience)
 * Expert knowledge of computer science with strong competencies in Data Structures, - Algorithms & OOPs concepts
 * Worked on SQL databases, Knowledge of NoSQL DBs like MongoDB and Caching (like Redis) will be an added advantage
 * Knowledge of microservices architecture
   
   
   

Psst… tips on how you can beat the competition:

If you can showcase your abilities to:


 * Be self-driven / quick starter
 * Have an ownership mindset
 * Aggressively drive and deliver results
   
   
   

If you fit the above description, we would love to connect with you! APPLY NOW

A basic requirement but one that many forget: Make sure you go through our website, download our app and give us feedback!

Upstox is an Equal Opportunity Employer; all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, veteran status, or other characteristics.",Full-time,Not Applicable,Engineering and Information Technology,Financial Services,15091079,,
3837536416,2024-02-28,,Software Engineer,https://in.linkedin.com/jobs/view/software-engineer-at-microsoft-3837536416?trk=public_jobs_topcard-title,Microsoft,https://www.linkedin.com/company/microsoft?trk=public_jobs_topcard-org-name,"Bengaluru, Karnataka, India",1 month ago,Over 200 applicants,"Have you ever imagined a world with an infinite amount of storage available and accessible to everyone? A place where everyone in the world can easily access their data from anywhere at any time via any means (e.g., mobile phones, tablets, PCs, smart devices, etc.). Did you ever desire a universally accessible storage system to record all the knowledge known to mankind or to store all the data collected from all the scientists in the world for them to collaborate upon? Do you want to be part of a team that strives to bring these to reality?

If so, the Microsoft Azure Storage team is what you are looking for. We are building Microsoft’s cloud storage solution - Microsoft Azure Storage, which is a massively scalable, highly distributed, ubiquitously accessible storage system, designed to scale out and serve the entire world. We continue to have tremendous hockey stick growth, we have many Exabyte’s of data stored, and are designing and building systems for Zettabyte scale to support demand growth for the coming years.

We are looking for engineers who are self-starters with a passion for learning and bringing fresh ideas to build high quality products. You will have opportunities to work on fast-paced teams and make high impact changes on a daily basis as you build world class services.

As a Software Engineer in the Azure Storage team, you will build, improve and support highly scalable, performant services that deliver highly reliable, secure and available access to storage for our customers. You will face challenges of monitoring, analyzing, and designing for ever-growing data needs of our customers and for ensuring data privacy, protection and compliance. This opportunity will allow you to develop your technical skills in cloud services and storage, accelerate career growth, and provide an opportunity to work in a highly dynamic, flexible, and globally distributed team.

Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.

Responsibilities


 * Collaborates with appropriate stakeholders to determine user requirements for a scenario.
 * Creates and implements code for a product, service, or feature, reusing code as applicable.
 * Contributes to the identification of dependencies, and the development of design documents for end to end scenarios testing and test infrastructure with little oversight.  
 * Design and develop test automation tools and execute automation scripts.
 * Acts as a Designated Responsible Individual (DRI) and guides other engineers by developing and following the playbook, working on call to monitor system/product/service for degradation, downtime, or interruptions, alerting stakeholders about status and initiates actions to restore system/product/service for simple and complex problems when appropriate.
 * Proactively seeks new knowledge and adapts to new trends, technical solutions, and patterns that will improve the availability, reliability, efficiency, observability, and performance of products while also driving consistency in monitoring and operations at scale.
   
   

Qualifications

Required Qualifications:


 * Bachelor's Degree in Computer Science, or related technical discipline with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python
    * OR equivalent experience.

 * Excellence in software engineering practices.
 * Knowledge of software QA methodologies, tools, and processes.
   

Other Qualifications


 * Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check upon hire/transfer and every two years thereafter.
   
   

Preferred Qualifications


 * Bachelor's Degree in Computer Science
    * OR related technical field AND 1+ year(s) technical engineering experience with coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, OR Python
    * OR Master's Degree in Computer Science or related technical field with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python
    * OR equivalent experience.

 * Develop or specify standards, methods, or procedures to determine product quality or release readiness.
 * Experience in building quality products and services preferably in distributed systems.
   

#azurecorejobs #AzStorageIDC

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",Full-time,Not Applicable,Engineering and Information Technology,Software Development,1035,,
3852551503,2024-03-12,,Web Developer,https://in.linkedin.com/jobs/view/web-developer-at-mahe-technologies-private-limited-3852551503?trk=public_jobs_topcard-title,Mahe Technologies Private Limited,https://in.linkedin.com/company/mahe-technologies-private-limited?trk=public_jobs_topcard-org-name,Greater Kolkata Area,2 weeks ago,51 applicants,"The ideal candidate is a creative problem solver who will work in coordination with cross-functional teams to design, develop, and maintain our next generation websites and web tools. You must be comfortable working as part of a team while taking the initiative to take lead on new innovations and projects.

Responsibilities


 * Revise, edit, proofread & optimize web content
 * Work with cross-functionally to enhance overall user experience of our platforms
 * Own various design tasks involved in the web development life cycle from start to finish
   
   

Qualifications


 * Bachelor's degree or equivalent experience in Computer Science
 * At least 1 - 2 years' of experience using HTML, CSS, and JavaScript
 * Proficiency in at least one server-side technology (Java, PHP, NodeJS, Python, Ruby)
 * Ability to multi-task, organize, and prioritize work",Full-time,Executive,Engineering and Information Technology,Information Technology & Services,14387125,,
3844373903,2024-03-07,,Hindustan Times - Software Development Engineer II/III - Python,https://in.linkedin.com/jobs/view/hindustan-times-software-development-engineer-ii-iii-python-at-hindustan-times-3844373903?trk=public_jobs_topcard-title,Hindustan Times,https://in.linkedin.com/company/hindustantimes?trk=public_jobs_topcard-org-name,"Gurugram, Haryana, India",3 weeks ago,59 applicants,"Overview

We are seeking talented Software Developers proficient in Python, with a specialisation in data engineering and web crawling. This role entails the design and implementation of resilient data solutions, coupled with the development of efficient web crawlers for extracting information from diverse online sources. The ideal candidate will exhibit a passion for utilising open-source libraries to gather, process, and analyse data.

Key Responsibilities Include


 * Collaborate with product managers, cross-functional teams, and stakeholders to comprehend data requirements. Translate requirements into technical specifications, ensuring data quality and integrity
 * Design and implement data engineering solutions using Python to manage large and diverse datasets.
 * Ensure efficient storage, retrieval, and processing of data, following best practices
 * Develop and maintain web crawlers in Python for extracting data from diverse online platforms
 * Create scripts for data cleaning, transformation, and normalisation, ensuring high-quality data
 * Design and implement data models, databases, and processing components for optimal performance
 * Integrate with external APIs to enrich data and enhance overall information retrieval processes
 * Establish monitoring tools to track the health and performance of web crawlers and data processing systems. Identify and address performance bottlenecks
 * Develop and execute comprehensive test plans for features and data-driven functionalities
 * Stay updated with emerging technologies and contribute to the continuous improvement of development processes
   
   

Functional Competencies


 * B.E./B.Tech. in CS/IT or a related field with 2+ years of hands-on experience as a software developer
 * Expertise in data engineering, encompassing efficient data storage, processing, transformation, and retrieval of large datasets
 * Strong understanding of Python, MongoDB, MySQL, Elasticsearch, Redis, and related technologies
 * Proficiency in web crawling using Python libraries and frameworks such as Beautiful Soup, Scrapy, Pandas, NumPy
 * Experience in Restful API development and integration.
 * Familiarity with cloud platforms, such as AWS and Azure.
 * Strong problem-solving skills with meticulous attention to detail
 * Ability to work collaboratively in a dynamic development environment
   
   

(ref:hirist.tech)",Full-time,Mid-Senior level,Information Technology,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",9385515,,
3864082063,2024-03-19,,SDE-1,https://in.linkedin.com/jobs/view/sde-1-at-airtel-3864082063?trk=public_jobs_topcard-title,airtel,https://in.linkedin.com/company/airtel?trk=public_jobs_topcard-org-name,"Gurgaon, Haryana, India",1 week ago,Over 200 applicants," * You will be responsible for understanding business needs and knowing how to create and manage the tools, and you will be responsible for conferring with users, studying system flow, data usage, and work processes following the software development lifecycle.
 * You will be responsible for identifying, prioritizing and executing tasks in the software development life cycle.
 * You will be responsible for performing validation and verification testing.
 * You will have to collaborate with the internal teams and vendors to fix and improve products.",Full-time,Entry level,Engineering and Information Technology,Telecommunications,3583,,
3852549931,2024-03-12,,Web Developer,https://in.linkedin.com/jobs/view/web-developer-at-mahe-technologies-private-limited-3852549931?trk=public_jobs_topcard-title,Mahe Technologies Private Limited,https://in.linkedin.com/company/mahe-technologies-private-limited?trk=public_jobs_topcard-org-name,Greater Kolkata Area,2 weeks ago,41 applicants,"The ideal candidate is a creative problem solver who will work in coordination with cross-functional teams to design, develop, and maintain our next generation websites and web tools. You must be comfortable working as part of a team while taking the initiative to take lead on new innovations and projects.

Responsibilities


 * Revise, edit, proofread & optimize web content
 * Work with cross-functionally to enhance overall user experience of our platforms
 * Own various design tasks involved in the web development life cycle from start to finish
   
   

Qualifications


 * Bachelor's degree or equivalent experience in Computer Science
 * At least 1 - 2 years' of experience using HTML, CSS, and JavaScript
 * Proficiency in at least one server-side technology (Java, PHP, NodeJS, Python, Ruby)
 * Ability to multi-task, organize, and prioritize work",Full-time,Executive,Engineering and Information Technology,Information Technology & Services,14387125,,
3837536415,2024-02-28,,Software Engineer,https://in.linkedin.com/jobs/view/software-engineer-at-microsoft-3837536415?trk=public_jobs_topcard-title,Microsoft,https://www.linkedin.com/company/microsoft?trk=public_jobs_topcard-org-name,"Bengaluru, Karnataka, India",1 month ago,Over 200 applicants,"Have you ever imagined a world with an infinite amount of storage available and accessible to everyone? A place where everyone in the world can easily access their data from anywhere at any time via any means (e.g., mobile phones, tablets, PCs, smart devices, etc.). Did you ever desire a universally accessible storage system to record all the knowledge known to mankind or to store all the data collected from all the scientists in the world for them to collaborate upon? Do you want to be part of a team that strives to bring these to reality?

If so, the Microsoft Azure Storage team is what you are looking for. We are building Microsoft’s cloud storage solution - Microsoft Azure Storage, which is a massively scalable, highly distributed, ubiquitously accessible storage system, designed to scale out and serve the entire world. We continue to have tremendous hockey stick growth, we have many Exabyte’s of data stored, and are designing and building systems for Zettabyte scale to support demand growth for the coming years.

As a Software Engineer in the Azure Storage team, you will build, improve and support highly scalable, performant services that deliver highly reliable, secure and available access to storage for our customers. You will face challenges of monitoring, analyzing, and designing for ever-growing data needs of our customers and for ensuring data privacy, protection and compliance. This opportunity will allow you to develop your technical skills in cloud services and storage, accelerate career growth, and provide an opportunity to work in a highly dynamic, flexible, and globally distributed team.

Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.

Responsibilities


 * Design and implement new features and enhancements for Azure Storage services to enable new hardware designs using best practices and industry standards.Design and implement new features for the storage performance measurement and analysis platform.
 * Debug and troubleshoot complex issues across multiple software components that block us from enabling new Hardware technologies.
 * Analyze large scale performance measurement data to find bottlenecks in the software or hardware.
 * Collaborate with other engineers, product managers, and customers to gather requirements, provide feedback, and deliver solutions. Document and communicate the design and architecture of the software.
 * Acts as a Designated Responsible Individual (DRI) and guides other engineers by developing and following the playbook, working on call to monitor system/product/service for degradation, downtime, or interruptions, alerting stakeholders about status and initiates actions to restore system/product/service for simple and complex problems when appropriate.
 * Proactively seeks new knowledge and adapts to new trends, technical solutions, and patterns that will improve the availability, reliability, efficiency, observability, and performance of products while also driving consistency in monitoring and operations at scale.
   
   

Qualifications

Required Qualifications:


 * Bachelor's Degree in Computer Science, or related technical discipline with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python
    * OR equivalent experience.
      

Other Qualifications


 * Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check upon hire/transfer and every two years thereafter.
   
   

Preferred Qualifications


 * Bachelor's Degree in Computer Science
    * OR related technical field AND 1+ year(s) technical engineering experience with coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, OR Python
    * OR Master's Degree in Computer Science or related technical field with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python
    * OR equivalent experience.

 * Experience with
    * any NoSQL database, such as MongoDB, Cassandra, Redis,
    * AND RESTful APIs, microservices, distributed systems, and data structures,
    * AND systems programming, operating systems, distributed systems, databases, cloud services including high-performance distributed storage and networking.
      

#azurecorejobs #AzStorageIDC

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",Full-time,Not Applicable,Engineering and Information Technology,Software Development,1035,,
